date,n1,n2,n3,n4,n5,n6
8/3/2017,14,16,44,2,27,9
8/6/2017,25,7,9,37,43,29
8/10/2017,16,14,7,47,21,27
8/13/2017,38,3,28,31,32,18
8/17/2017,48,27,29,23,8,20
8/20/2017,48,46,5,30,19,32
8/24/2017,26,16,37,36,13,22
8/27/2017,48,17,43,2,13,15
8/31/2017,18,11,24,39,12,34
9/3/2017,23,24,8,45,40,35
9/7/2017,15,36,20,24,2,6
9/10/2017,20,25,45,48,37,21
9/17/2017,21,30,39,46,3,9
9/17/2017,5,14,10,23,26,40
9/21/2017,4,32,36,8,1,24
9/24/2017,32,5,4,49,44,12
9/28/2017,3,6,37,7,48,28
10/1/2017,21,38,7,6,49,13
10/5/2017,30,6,17,41,4,28
10/8/2017,5,15,28,41,32,7
10/12/2017,44,35,36,19,21,42
10/15/2017,46,22,47,43,27,28
10/15/2017,44,19,35,6,9,10
10/19/2017,8,32,11,19,29,17
10/22/2017,2,28,41,27,26,3
10/26/2017,10,21,24,22,37,23
10/29/2017,18,37,27,10,44,5
11/2/2017,49,21,24,28,39,16
11/5/2017,13,3,18,12,21,45
11/9/2017,23,47,28,7,39,9
11/12/2017,19,12,32,7,33,17
11/16/2017,21,5,44,48,11,49
11/19/2017,8,15,30,42,39,35
11/23/2017,30,10,11,45,15,37
11/26/2017,23,30,44,13,2,15
11/26/2017,37,11,35,27,12,4
11/30/2017,17,15,41,39,45,40
12/3/2017,42,20,5,4,23,38
12/7/2017,32,14,37,40,47,49
12/10/2017,38,49,10,1,46,22
12/14/2017,40,2,45,13,11,5
12/17/2017,34,30,47,46,45,26
12/21/2017,19,46,30,33,36,17
12/24/2017,18,33,17,12,44,28
12/31/2017,5,44,12,9,29,16
12/31/2017,43,36,2,42,32,28
1/4/2018,8,27,47,2,25,3
1/7/2018,4,12,5,19,33,2
1/11/2018,35,20,10,31,3,32
1/14/2018,16,36,34,30,43,27
1/18/2018,1,49,21,34,2,12
1/21/2018,47,35,17,33,23,11
1/25/2018,48,10,17,31,25,29
1/28/2018,18,34,5,28,33,2
