n1,n2,n3,n4,n5,n6
16,7,18,42,19,36
46,8,25,19,37,41
47,36,13,19,49,38
41,49,34,12,14,45
7,48,27,33,21,14
9,12,25,13,32,40
8,12,19,6,11,10
30,40,13,1,48,3
16,33,11,6,32,35
8,5,24,16,23,36
45,3,35,20,21,32
10,6,30,2,17,1
48,32,7,27,12,42
38,13,33,27,2,39
13,24,11,10,6,18
25,21,24,4,8,2
33,5,12,27,16,24
25,4,1,7,35,20
6,29,49,9,39,27
28,44,24,1,38,4
19,8,14,48,37,40
39,22,46,30,9,33
1,38,34,22,45,13
33,22,27,37,21,35
15,1,14,20,28,29
35,9,6,27,5,33
12,17,31,29,27,48
16,10,15,18,40,4
14,40,23,28,47,12
25,28,2,14,4,43
39,14,24,44,20,37
3,28,39,27,5,7
15,19,13,3,44,5
2,17,15,12,14,23
37,27,43,4,38,39
41,9,5,45,34,1
44,36,29,25,34,14
7,26,5,48,49,25
29,12,23,42,27,10
13,42,40,14,37,23
46,28,48,7,3,14
46,29,3,33,40,26
46,3,18,16,48,32
40,12,29,16,48,47
21,41,1,26,7,29
49,33,23,16,10,7
41,13,27,48,23,29
32,3,7,40,37,14
45,12,26,11,44,37
46,20,37,25,32,8
49,24,47,18,40,10
44,38,10,11,24,21
19,42,41,18,34,28
10,8,6,4,42,48
42,24,16,48,5,4
18,17,28,39,15,43
8,2,32,9,39,6
7,2,13,19,46,24
46,38,39,22,3,5
7,31,9,13,8,3
8,40,30,35,18,7
25,20,11,49,34,27
49,8,48,5,11,19
40,33,36,35,43,4
10,12,27,49,15,21
20,16,13,35,25,19
30,24,23,29,41,18
5,37,35,3,31,49
2,43,26,16,38,32
10,29,37,49,26,42
12,36,34,38,41,40
22,8,27,3,41,11
25,10,8,44,23,28
45,6,24,5,39,44
6,11,32,17,15,7
47,34,38,9,39,30
22,32,33,41,44,19
26,10,20,41,16,13
7,39,31,12,25,35
15,23,18,34,11,41
6,39,42,5,34,13
36,13,19,37,27,38
36,24,21,22,31,35
28,26,9,2,48,5
28,42,8,1,25,46
35,33,27,10,46,43
10,43,9,20,21,44
42,44,19,28,26,13
22,40,10,7,14,11
1,23,18,49,42,29
32,17,7,48,46,27
17,8,27,38,29,25
10,24,6,3,8,14
39,35,38,10,4,43
17,48,40,23,36,2
21,38,26,24,12,20
18,40,5,46,49,23
9,32,17,6,41,11
10,28,6,30,11,33
20,4,25,23,26,34
16,35,37,27,5,18
2,12,27,15,16,9
48,39,21,27,30,9
39,31,24,38,3,43
14,43,10,45,30,6
47,31,8,36,26,27
44,48,21,10,27,17
19,18,31,10,5,17
48,2,16,33,45,41
45,49,12,40,10,41
21,41,31,14,2,43
13,35,18,28,10,47
31,20,9,25,15,2
7,18,22,30,33,12
36,6,29,10,20,23
25,27,9,13,37,7
5,18,49,34,31,40
22,40,45,5,20,44
16,22,18,32,48,1
6,41,47,15,2,24
24,38,18,6,25,2
16,30,2,9,25,1
13,21,17,9,42,43
30,12,25,10,1,37
40,29,2,10,18,37
31,3,24,12,23,7
44,10,2,6,31,23
18,11,29,36,10,35
47,45,40,1,30,24
17,25,32,29,18,49
19,33,39,18,30,26
36,27,23,14,38,43
24,29,38,5,25,35
45,8,12,41,35,30
33,39,46,4,26,8
3,21,40,26,16,15
39,41,28,1,45,4
13,4,35,19,10,7
40,22,13,4,42,9
23,35,40,6,14,16
42,37,2,24,16,6
6,2,4,7,12,39
21,9,31,18,41,16
47,30,44,39,3,31
41,23,20,37,36,43
49,42,34,28,11,37
9,19,25,2,39,38
10,45,33,29,25,44
23,8,19,11,31,33
17,29,44,49,30,26
36,14,40,19,15,28
14,43,7,40,37,36
41,46,28,24,26,47
13,44,12,45,6,2
4,9,21,35,7,32
48,33,5,45,29,49
18,44,15,40,30,12
22,47,34,29,10,9
30,21,43,8,23,7
8,3,10,5,25,2
29,3,27,33,38,31
21,5,13,10,47,36
35,24,10,48,28,40
21,33,36,14,2,35
16,48,25,21,24,20
5,16,12,36,32,1
4,31,38,2,22,12
13,19,42,27,46,25
48,39,27,4,26,21
14,26,12,5,4,7
32,12,6,9,42,48
6,45,38,44,39,10
5,7,13,22,2,36
49,22,33,13,28,30
27,47,48,7,21,41
1,41,36,8,32,20
5,1,24,48,33,41
41,31,38,18,49,32
